frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
5,0.1667,4,96,1,1,1104.576,416.729,1098,413,15,10,59,0.4861,22.305,35.0,430.294,375.167,4.529,82.138,0.8719,95
5,0.1667,6,17,1,0,876.118,428.529,874,427,6,5,17,0.2778,18.529,20.0,3.466,2.998,0.217,1.989,0.8649,16
5,0.1667,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
5,0.1667,8,36,1,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0,60.172,54.539,1.337,11.505,0.9064,45
5,0.1667,9,49,1,0,800.982,440.446,789,437,25,7,112,0.2917,18.929,21.0,40.867,7.019,0.834,8.494,0.1717,49
5,0.1667,10,65,1,1,810.667,436.667,810,436,2,2,3,0.25,18.0,18.0,123.379,76.816,1.645,21.869,0.6226,75
5,0.1667,13,23,1,1,683.396,495.958,678,494,12,5,48,1.0,53.604,129.0,70.073,64.313,2.803,24.164,0.9178,25
5,0.1667,14,46,1,1,834.057,505.887,830,503,9,7,53,1.0,40.226,77.0,167.138,154.666,3.714,22.444,0.9254,45
5,0.1667,16,153,1,0,1006.467,517.283,1000,513,15,11,120,1.0,77.0,160.0,69.075,5.386,0.443,3.852,0.078,156
5,0.1667,17,89,1,1,955.303,522.33,949,512,16,24,221,1.0,82.281,192.0,665.962,176.725,7.483,37.876,0.2654,89
5,0.1667,19,65,1,0,851.0,541.234,845,537,12,9,77,1.0,63.078,150.0,357.721,26.169,5.339,24.629,0.0732,67
5,0.1667,20,6,1,1,853.365,585.25,849,582,9,8,52,1.0,42.346,91.0,22.527,22.22,4.505,13.805,0.9864,5
5,0.1667,26,51,1,1,840.528,614.694,838,612,7,7,36,0.6528,26.306,47.0,316.496,146.361,5.972,23.629,0.4624,53
5,0.1667,27,102,1,1,1284.296,799.676,1276,795,18,10,108,0.8611,34.296,62.0,1011.036,423.75,9.361,61.32,0.4191,108
5,0.1667,29,16,1,0,869.5,429.0,868,428,4,3,4,0.2778,18.5,20.0,6.592,0.601,0.439,0.601,0.0912,15
5,0.1667,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
5,0.1667,32,22,1,0,695.959,450.644,664,444,72,15,436,1.0,34.154,199.0,11.479,1.431,0.522,5.675,0.1247,22
6,0.2,1,153,1,0,942.912,316.888,931,309,26,17,285,1.0,72.34,186.0,28.982,7.891,0.186,2.386,0.2723,156
6,0.2,2,153,1,0,997.11,318.917,989,314,18,12,145,1.0,113.524,225.0,26.616,5.853,0.171,1.583,0.2199,156
6,0.2,3,47,1,1,1209.019,411.72,1194,402,32,20,368,1.0,107.095,242.0,832.205,564.662,14.348,71.812,0.6785,58
6,0.2,4,96,1,1,1105.826,415.783,1100,413,13,6,46,0.4444,22.913,32.0,430.294,375.167,4.529,82.138,0.8719,95
6,0.2,6,17,1,0,876.118,428.529,874,427,6,5,17,0.2778,18.529,20.0,3.466,2.998,0.217,1.989,0.8649,16
6,0.2,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
