track_id,valid_flying_track,confirmed,active_at_end,lifetime_frames,first_frame,last_frame,frame_span,start_cx,start_cy,end_cx,end_cy,path_length_px,net_displacement_px,mean_speed_px_frame,max_step_speed_px_frame,directionality
180,1,1,0,4,207,212,5,703.0,452.333,725.354,427.031,33.943,33.763,6.789,11.28,0.9947
184,1,1,0,4,207,212,5,703.146,487.0,732.0,506.909,35.163,35.056,7.033,11.648,0.997
187,1,1,0,4,207,212,5,819.875,518.05,868.5,514.5,48.994,48.754,9.799,16.289,0.9951
196,1,1,0,4,207,212,5,905.188,613.457,833.221,641.325,77.269,77.174,15.454,25.74,0.9988
210,1,1,0,4,207,212,5,550.57,676.71,526.205,702.35,35.37,35.37,7.074,11.77,1.0
212,1,1,0,4,207,212,5,909.605,686.442,836.786,699.333,73.951,73.951,14.79,24.65,1.0
306,1,1,0,4,233,236,3,502.028,226.344,671.066,246.64,170.467,170.252,56.822,98.049,0.9987
337,1,1,0,4,253,256,3,1292.0,587.0,1318.0,586.5,26.005,26.005,8.668,26.005,1.0
422,1,1,0,4,409,412,3,413.824,920.723,364.335,888.351,97.02,59.136,32.34,61.957,0.6095
432,1,1,0,4,419,422,3,794.422,794.467,779.557,814.412,24.876,24.876,8.292,24.876,1.0
103,1,1,0,3,87,89,2,334.407,927.883,270.967,934.077,63.744,63.742,31.872,63.667,1.0
149,1,1,0,3,137,142,5,851.0,434.333,798.478,439.326,53.125,52.759,10.625,14.555,0.9931
266,1,1,0,3,228,232,4,1109.411,449.495,1048.15,459.67,62.185,62.1,15.546,20.712,0.9986
277,1,1,0,3,228,230,2,1022.2,513.0,1011.6,531.2,21.329,21.062,10.664,21.148,0.9875
401,1,1,0,3,392,394,2,1178.788,817.682,1098.075,814.108,80.792,80.792,40.396,80.792,1.0
462,1,1,0,3,476,478,2,609.0,529.0,585.5,552.0,32.882,32.882,16.441,32.882,1.0
262,0,1,1,261,228,494,266,949.025,319.869,957.195,329.014,98.555,12.262,0.371,2.896,0.1244
263,0,1,1,261,228,494,266,1001.015,322.477,1006.652,328.859,68.526,8.515,0.258,2.051,0.1243
346,0,1,1,196,293,494,201,959.52,540.92,983.094,491.585,646.707,54.678,3.217,41.735,0.0845
